Size;Ordered;Reordered;Random;Saw;Sinus;Step;Quasi;;Размер;Упоряд. по возраст;Упоряд. по убыванию;Случайная;Пилообр.;Квази-упоряд.;Синус.;Ступен.;;;;;;;;;;;;;;;
500000;651;638;85688;3555;20458;86707;87474;;500000;651;638;85688;3555;20458;86707;87474;;;;;;;;;;;;;;;
1000000;1362;1374;171090;7151;42302;172989;172663;;1000000;1362;1374;171090;7151;42302;172989;172663;;;;;;;;;;;;;;;
1500000;1962;2000;258293;10818;61496;259613;258202;;1500000;1962;2000;258293;10818;61496;259613;258202;;;;;;;;;;;;;;;
2000000;2622;2695;343808;15206;83621;346927;344618;;2000000;2622;2695;343808;15206;83621;346927;344618;;;;;;;;;;;;;;;
2500000;3461;3393;429430;18259;103254;435232;433980;;2500000;3461;3393;429430;18259;103254;435232;433980;;;;;;;;;;;;;;;
3000000;4023;3926;514821;22032;123204;519237;518883;;3000000;4023;3926;514821;22032;123204;519237;518883;;;;;;;;;;;;;;;
3500000;4612;4640;599999;25992;144713;607034;609340;;3500000;4612;4640;599999;25992;144713;607034;609340;;;;;;;;;;;;;;;
4000000;5380;5319;686475;30404;165510;692184;689545;;4000000;5380;5319;686475;30404;165510;692184;689545;;;;;;;;;;;;;;;
4500000;6157;7490;771294;33471;185446;777996;780180;;4500000;6157;7490;771294;33471;185446;777996;780180;;;;;;;;;;;;;;;
5000000;6649;6621;860383;37442;207463;869095;866112;;5000000;6649;6621;860383;37442;207463;869095;866112;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;Размер;Упоряд. по возраст;Упоряд. по убыванию;Случайная;Пилообр.;Квази-упоряд.;Синус.;Ступен.
;;;;;;;;;;;;;;;;;;;;;;;;500000;700;669;15076;905;23918;14397;12948
;;;;;;;;;;;;;;;;;;;;;;;;1000000;1414;1398;22199;1737;42283;21742;20830
;;;;;;;;;;;;;;;;;;;;;;;;1500000;1925;1798;30877;2576;64050;32768;31486
;;;;;;;;;;;;;;;;;;;;;;;;2000000;2359;2378;40953;3409;82751;43099;41688
;;;;;;;;;;;;;;;;;;;;;;;;2500000;3041;2922;50913;4276;105305;54094;51614
;;;;;;;;;;;;;;;;;;;;;;;;3000000;3526;4106;61584;5124;124685;65792;62736
;;;;;;;;;;;;;;;;;;;;;;;;3500000;4088;4144;71389;5928;144380;75016;71934
;;;;;;;;;;;;;;;;;;;;;;;;4000000;6248;4752;81387;6765;166681;86108;81848
;;;;;;;;;;;;;;;;;;;;;;;;4500000;5328;5368;92292;7621;187030;96480;92277
;;;;;;;;;;;;;;;;;;;;;;;;5000000;7919;5937;101596;8471;209378;107217;102944
