;ordered;reodered;random;saw;sinusoidal;step;quasi ordered;;ordered;reodered;random;saw;sinusoidal;step;quasi ordered
int_numbers;;;;;;;;float_numbers;;;;;;;
;0;1000;10;0;500;-5;24;;0;1000;867,362151;0,100010001;500;-4,533117141;13,87106034
;1;999;314;10;531,3952598;6;-47;;0,100010001;999,89999;811,0151283;10,10001;531,3952598;8,178449498;-13,45248476
;2;998;811;20;562,6666168;-10;-11;;0,200020002;999,79998;221,3292689;20,10001;562,6666168;5,25126224;20,14176902
;3;997;445;30;593,6906573;-6;-13;;0,300030003;999,69997;76,2437725;30,10001;593,6906573;4,886770599;35,29725228
;4;996;657;40;624,3449436;2;-14;;0,400040004;999,59996;452,0631657;40,10001;624,3449436;9,353007503;-25,37595857
;5;995;381;50;654,5084972;-2;-33;;0,500050005;999,49995;575,0232932;50,10001;654,5084972;6,280564334;-14,7651713
;6;994;202;60;684,0622763;-4;42;;0,600060006;999,39994;957,7234778;60,10001;684,0622763;1,010186643;-11,11859925
;7;993;439;70;712,8896458;4;21;;0,700070007;999,29993;230,4937349;70,10001;712,8896458;-1,907522259;12,27190757
;8;992;178;80;740,8768371;-3;-28;;0,800080008;999,19992;279,5771378;80,10001;740,8768371;7,534128604;26,25441216
;9;991;927;90;767,9133975;2;-41;;0,900090009;999,09991;218,2739804;90,10001;767,9133975;3,453820031;-6,971560503
;10;990;556;100;793,8926261;-6;17;;1,00010001;998,9999;619,7328761;100,10001;793,8926261;-6,863396132;41,16710984
;11;989;937;110;818,7119949;1;52;;1,100110011;998,89989;244,5849934;110,10001;818,7119949;4,19681494;-7,852574842
;12;988;666;120;842,273553;10;5;;1,200120012;998,79988;631,2569505;120,10001;842,273553;6,486177971;47,37311794
;13;987;779;130;864,4843137;5;61;;1,300130013;998,69987;579,9844316;130,10001;864,4843137;0,829606454;32,43528196
;14;986;775;140;885,2566214;-6;28;;1,400140014;998,59986;936,0240431;140,10001;885,2566214;5,13500827;47,01956055
;15;985;54;150;904,5084972;2;38;;1,500150015;998,49985;573,7487505;150,10001;904,5084972;9,521184197;45,36051052
;16;984;848;160;922,1639628;6;-2;;1,600160016;998,39984;33,82619193;160,10001;922,1639628;-6,46420502;14,18879971
;17;983;889;170;938,15334;1;56;;1,700170017;998,29983;666,0470594;170,10001;938,15334;7,349686822;-13,15998951
;18;982;769;180;952,4135262;-10;33;;1,800180018;998,19982;696,5591608;180,10001;952,4135262;-4,28035346;18,77834055
;19;981;949;190;964,8882429;6;-13;;1,900190019;998,09981;189,4044522;190,10001;964,8882429;2,116327497;26,87532448
;20;980;789;200;975,5282581;-4;-2;;2,00020002;997,9998;169,5493527;200,10001;975,5282581;7,836567262;-22,83844518
;21;979;327;210;984,2915806;9;-25;;2,100210021;997,89979;166,4590536;210,10001;984,2915806;-7,111801924;-17,12485775
;22;978;133;220;991,1436254;-5;45;;2,200220022;997,79978;394,8954092;220,10001;991,1436254;8,021041977;64,92592412
;23;977;64;230;996,0573507;-7;-14;;2,300230023;997,69977;139,2702925;230,10001;996,0573507;-0,806596187;48,42233447
;24;976;877;240;999,0133642;-9;45;;2,400240024;997,59976;432,4758736;240,10001;999,0133642;0,59900417;25,70528627
;25;975;10;250;1000;10;21;;2,500250025;997,49975;273,8742447;250,10001;1000;5,06540448;68,14392564
;26;974;573;260;999,0133642;4;75;;2,600260026;997,39974;330,1722461;260,10001;999,0133642;-3,317995202;56,36287832
;27;973;656;270;996,0573507;1;34;;2,700270027;997,29973;284,2533544;270,10001;996,0573507;4,638396038;47,33408034
;28;972;429;280;991,1436254;8;-18;;2,800280028;997,19972;210,4922745;280,10001;991,1436254;-9,430346807;44,2444483
;29;971;646;290;984,2915806;4;-2;;2,900290029;997,09971;266,6148677;290,10001;984,2915806;-4,269650865;46,09018777
;30;970;939;300;975,5282581;8;35;;3,00030003;996,9997;369,9283407;300,10001;975,5282581;-9,630978387;35,58754935
;31;969;379;310;964,8882429;-6;78;;3,100310031;996,89969;979,6419462;310,10001;964,8882429;9,559712335;21,18221883
;32;968;81;320;952,4135262;-6;-5;;3,200320032;996,79968;201,9410136;320,10001;952,4135262;-5,781124168;12,90960961
;33;967;529;330;938,15334;6;8;;3,300330033;996,69967;604,8441332;330,10001;938,15334;-6,837627792;2,19366188
;34;966;653;340;922,1639628;3;63;;3,400340034;996,59966;941,7734412;340,10001;922,1639628;-9,534033059;24,38645723
;35;965;337;350;904,5084972;9;43;;3,500350035;996,49965;213,8586476;350,10001;904,5084972;-4,63706157;11,46841441
;36;964;760;360;885,2566214;4;39;;3,600360036;996,39964;882,0005009;360,10001;885,2566214;0,221657282;32,14796816
;37;963;384;370;864,4843137;0;84;;3,700370037;996,29963;651,2338773;370,10001;864,4843137;2,277597726;75,82200284
;38;962;285;380;842,273553;2;69;;3,800380038;996,19962;186,8370812;380,10001;842,273553;5,311679222;-9,776975014
;39;961;842;390;818,7119949;6;72;;3,900390039;996,09961;106,9753872;390,10001;818,7119949;9,142534845;18,66064765
;40;960;354;400;793,8926261;4;76;;4,00040004;995,9996;635,1873643;400,10001;793,8926261;2,959723085;87,080287
;41;959;569;410;767,9133975;7;69;;4,100410041;995,89959;641,2856932;410,10001;767,9133975;0,223549046;32,6219551
;42;958;411;420;740,8768371;7;39;;4,200420042;995,79958;397,518845;420,10001;740,8768371;6,577922407;51,20931533
;43;957;232;430;712,8896458;6;54;;4,300430043;995,69957;428,6585735;430,10001;712,8896458;5,423856153;-0,825183738
;44;956;402;440;684,0622763;-4;27;;4,400440044;995,59956;102,463206;440,10001;684,0622763;-7,155986546;66,32724313
;45;955;849;450;654,5084972;-3;48;;4,500450045;995,49955;150,6338622;450,10001;654,5084972;-5,285028045;0,172386366
;46;954;296;460;624,3449436;0;65;;4,600460046;995,39954;255,2624271;460,10001;624,3449436;0,803996106;42,06588419
;47;953;104;470;593,6906573;-6;77;;4,700470047;995,29953;803,449779;470,10001;593,6906573;-1,112450934;49,42512767
;48;952;553;480;562,6666168;1;40;;4,800480048;995,19952;773,8950297;480,10001;562,6666168;-5,028314844;83,89766412
;49;951;345;490;531,3952598;-10;31;;4,900490049;995,09951;129,7457958;490,10001;531,3952598;3,062933683;43,88520837
;50;950;13;500;500;-5;49;;5,00050005;994,9994999;121,4897375;500,10001;500;-9,111575599;71,12173127
;51;949;690;510;468,6047402;1;23;;5,100510051;994,8994899;580,9885012;510,10001;468,6047402;7,79683687;33,10000764
;52;948;791;520;437,3333832;5;99;;5,200520052;994,7994799;462,8292154;520,10001;437,3333832;-3,353722307;50,82479919
;53;947;51;530;406,3093427;-9;47;;5,300530053;994,6994699;781,0687639;530,10001;406,3093427;-2,892096692;15,48845862
;54;946;161;540;375,6550564;3;71;;5,400540054;994,5994599;753,7227074;540,10001;375,6550564;9,880413409;46,09510066
;55;945;384;550;345,4915028;-6;21;;5,500550055;994,4994499;961,1628692;550,10001;345,4915028;7,62077027;87,67946582
;56;944;101;560;315,9377237;1;17;;5,600560056;994,3994399;851,0155224;560,10001;315,9377237;9,10996577;6,177230632
;57;943;136;570;287,1103542;-8;46;;5,700570057;994,2994299;356,7018321;570,10001;287,1103542;-9,424881469;31,60162605
;58;942;965;580;259,1231629;0;101;;5,800580058;994,1994199;838,424491;580,10001;259,1231629;4,606256567;76,63604925
;59;941;995;590;232,0866025;-4;40;;5,900590059;994,0994099;500,1572516;590,10001;232,0866025;-7,135086549;84,25067384
;60;940;90;600;206,1073739;-8;71;;6,00060006;993,9993999;75,21403066;600,10001;206,1073739;-8,293009234;42,81878749
;61;939;492;610;181,2880051;-3;86;;6,100610061;993,8993899;233,8467829;610,10001;181,2880051;-1,246404504;101,4438077
;62;938;246;620;157,726447;2;54;;6,200620062;993,7993799;76,52645544;620,10001;157,726447;3,332773719;92,77862388
;63;937;183;630;135,5156863;9;105;;6,300630063;993,6993699;8,606991639;630,10001;135,5156863;-2,421051653;45,80781959
;64;936;767;640;114,7433786;8;95;;6,400640064;993,5993599;118,0957386;640,10001;114,7433786;1,657559073;25,03464097
;65;935;395;650;95,49150281;-3;63;;6,500650065;993,4993499;638,3866365;650,10001;95,49150281;8,716734961;52,61010773
;66;934;765;660;77,83603725;-1;23;;6,600660066;993,3993399;682,1025898;660,10001;77,83603725;-5,198492714;67,14617635
;67;933;406;670;61,84665998;-10;50;;6,700670067;993,2993299;740,976543;670,10001;61,84665998;-5,489004396;35,6965511
;68;932;316;680;47,58647377;-1;115;;6,800680068;993,1993199;267,2831759;680,10001;47,58647377;2,10744105;115,5247842
;69;931;619;690;35,11175706;1;38;;6,900690069;993,0993099;625,7001347;690,10001;35,11175706;-3,483153142;25,78130443
;70;930;870;700;24,47174185;1;33;;7,00070007;992,9992999;173,7848144;700,10001;24,47174185;-8,4762368;74,04320374
;71;929;122;710;15,70841944;4;87;;7,100710071;992,8992899;488,7625575;710,10001;15,70841944;-3,718816174;57,47101511
;72;928;39;720;8,856374636;2;110;;7,200720072;992,7992799;755,4986359;720,10001;8,856374636;-5,628869414;116,5894791
;73;927;777;730;3,942649343;0;47;;7,300730073;992,6992699;814,3780187;730,10001;3,942649343;-9,449463802;50,32150184
;74;926;188;740;0,986635786;-4;72;;7,400740074;992,5992599;308,494481;740,10001;0,986635786;-6,787175956;24,91448474
;75;925;791;750;0;-3;120;;7,500750075;992,4992499;136,7043545;750,10001;0;-3,067975843;39,39248938
;76;924;112;760;0,986635786;-6;63;;7,600760076;992,3992399;792,2955227;760,10001;0,986635786;-1,053975463;26,35180997
;77;923;467;770;3,942649343;-5;54;;7,700770077;992,2992299;948,4140681;770,10001;3,942649343;2,419097895;88,41916193
;78;922;305;780;8,856374636;-4;107;;7,800780078;992,1992199;409,7588066;780,10001;8,856374636;5,64810332;30,04939074
;79;921;360;790;15,70841944;1;75;;7,900790079;992,0992099;924,963405;790,10001;15,70841944;-0,417532947;80,70719321
;80;920;319;800;24,47174185;-2;60;;8,00080008;991,9991999;912,9425606;800,10001;24,47174185;-3,399377922;119,7125917
;81;919;885;810;35,11175706;1;122;;8,100810081;991,8991899;23,81696486;810,10001;35,11175706;0,286328232;110,9362135
;82;918;964;820;47,58647377;-4;38;;8,200820082;991,7991799;865,550507;820,10001;47,58647377;-5,188878963;70,53880573
;83;917;954;830;61,84665998;8;111;;8,300830083;991,6991699;789,8024468;830,10001;61,84665998;-8,347641718;96,85451816
;84;916;397;840;77,83603725;-8;53;;8,400840084;991,5991599;107,8454658;840,10001;77,83603725;4,408247119;58,85878419
;85;915;457;850;95,49150281;7;113;;8,500850085;991,4991499;309,07538;850,10001;95,49150281;6,11528407;78,44181221
;86;914;266;860;114,7433786;3;118;;8,600860086;991,3991399;330,4745514;860,10001;114,7433786;9,59105722;123,1295352
;87;913;642;870;135,5156863;3;42;;8,700870087;991,2991299;27,11537289;870,10001;135,5156863;-5,918564071;121,1018071
;88;912;75;880;157,726447;7;61;;8,800880088;991,1991199;23,20932144;880,10001;157,726447;2,674745829;74,97412668
;89;911;595;890;181,2880051;-9;46;;8,900890089;991,0991099;940,9646345;890,10001;181,2880051;4,421840829;81,15523291
;90;910;875;900;206,1073739;7;47;;9,00090009;990,9990999;387,2912628;900,10001;206,1073739;8,255948725;108,5085876
;91;909;891;910;232,0866025;5;52;;9,100910091;990,8990899;331,7889232;910,10001;232,0866025;-8,260155705;74,50937718
;92;908;28;920;259,1231629;-2;108;;9,200920092;990,7990799;596,671632;920,10001;259,1231629;4,956639559;63,49017507
;93;907;563;930;287,1103542;10;43;;9,300930093;990,6990699;268,0118101;930,10001;287,1103542;6,441921009;138,6101135
;94;906;192;940;315,9377237;0;115;;9,400940094;990,5990599;712,1851682;940,10001;315,9377237;2,169696813;54,78464601
;95;905;781;950;345,4915028;5;96;;9,500950095;990,4990499;493,3694121;950,10001;345,4915028;-4,821674323;123,1894697
;96;904;679;960;375,6550564;-2;78;;9,600960096;990,3990399;790,3336368;960,10001;375,6550564;-2,598065539;140,2574789
;97;903;598;970;406,3093427;2;110;;9,700970097;990,2990299;424,0161356;970,10001;406,3093427;3,308267133;72,49525919
;98;902;776;980;437,3333832;0;49;;9,800980098;990,1990199;933,0994432;980,10001;437,3333832;-7,005032582;63,65520076
;99;901;932;990;468,6047402;-4;107;;9,900990099;990,0990099;483,6715242;990,10001;468,6047402;2,969980654;67,43807956
;100;900;747;1000;500;5;74;;10,0010001;989,9989999;174,0074145;1000,10001;500;-6,38881367;108,0268075
;101;899;937;0;531,3952598;96;57;;10,1010101;989,8989899;736,5299906;0,100010001;531,3952598;96,88119388;114,4230218
;102;898;711;10;562,6666168;109;76;;10,2010201;989,7989799;85,51519659;10,10001;562,6666168;100,4825004;76,95097352
;103;897;285;20;593,6906573;110;98;;10,3010301;989,6989699;274,5334281;20,10001;593,6906573;98,97888179;112,3331802
;104;896;171;30;624,3449436;98;54;;10,4010401;989,5989599;503,1338957;30,10001;624,3449436;98,49889817;62,68239882
;105;895;722;40;654,5084972;102;55;;10,50105011;989,4989499;142,5566089;40,10001;654,5084972;102,5144041;146,3647346
;106;894;855;50;684,0622763;96;70;;10,60106011;989,3989399;778,243665;50,10001;684,0622763;93,27615285;139,041943
;107;893;269;60;712,8896458;106;157;;10,70107011;989,2989299;497,8124053;60,10001;712,8896458;109,9333982;72,45900574
;108;892;922;70;740,8768371;107;150;;10,80108011;989,1989199;936,8144214;70,10001;740,8768371;95,22870696;154,5104165
;109;891;848;80;767,9133975;97;145;;10,90109011;989,0989099;329,1691854;80,10001;767,9133975;106,9348966;122,7150651
;110;890;37;90;793,8926261;93;99;;11,00110011;988,9988999;862,8342401;90,10001;793,8926261;107,2636915;157,0473697
;111;889;480;100;818,7119949;93;78;;11,10111011;988,8988899;604,1417541;100,10001;818,7119949;95,01249327;132,7464934
;112;888;25;110;842,273553;109;81;;11,20112011;988,7988799;483,178911;110,10001;842,273553;109,5030695;109,260818
;113;887;709;120;864,4843137;103;124;;11,30113011;988,6988699;92,92391947;120,10001;864,4843137;96,94491716;93,69914721
;114;886;958;130;885,2566214;95;131;;11,40114011;988,5988599;123,7022367;130,10001;885,2566214;93,96125245;134,3646691
;115;885;651;140;904,5084972;90;113;;11,50115012;988,4988499;526,6474276;140,10001;904,5084972;96,4410281;149,5515199
;116;884;876;150;922,1639628;108;165;;11,60116012;988,3988399;320,9084364;150,10001;922,1639628;99,85415865;103,748141
;117;883;39;160;938,15334;99;129;;11,70117012;988,2988299;713,4765387;160,10001;938,15334;108,3764692;163,2531758
;118;882;146;170;952,4135262;105;116;;11,80118012;988,1988199;392,5001335;170,10001;952,4135262;100,9808736;127,2015891
